Motivation_Description,Intent1
"I greatly enjoy Keith Haring art, and saw this sweatshirt on sale and wanted to support the artist by purchasing. I like to wear sweatshirts with graphics and not just plain/team names/Oregon stuff because I think it's boring. I like my sweatshirt because I can wear it almost every day (and have already worn it multiple times since receiving). ",2
Gift,3
Because it looked cool and I got it without paying money for it.,2
"I got this clothing item because I knew it would allow me to expand my look and personal brand. I love fashion and use the way I dress as a means of expressing myself and this piece was unlike anything I previously had, so I felt it would be a new challenge for me to become comfortable using said piece. ",4
"I originally went to Spencer's because I had a free shirt I could get based off of a punch card I had. When I got to the store I just looked around and had a few choices I was considering to get, but choice that one. The shirt I left with I liked the design the most and wanted to add darker colors since I have a colorful wardrobe. Majority of my clothes are over sized since I find it comfy. ",3
I got it because I like the style of skirt it was and I thought the print was unique and unlike something I already had. I thought I could style it in a fun way and it would look cool. ,4
I have wanted a dress like that for weeks and it was on sale. I know that I will eventually wear it with friends and to events. I also really like buying things and I have't bought clothes or makeup for a couple months so it was a matter of time before I bought something ,5
"I got the clothing item that I described on the first page because of the basic survival. I had clubs meetings or job interviews, so I needed formal clothes for those events. It was why I got a blazer, a formal coat.",1
I wanted a new basketball jersey to wear to basketball games and to parties. Devin Booker is one of my favorite players and the jersey is very colorful so it appealed to me. ,4
"I got this clothing item because I like to impulsively buy things I don't ""need"" but I knew I would still wear them. I liked the style and the color so I knew that I would appreciate having them even if I didn't need them",3
"I have always liked Marilyn Monroe. I have had posters of her on my wall since I was a kid. So naturally when I saw the socks with her on them, I had to get them. ",2
I saw someone on campus with them on and thought of a lot of outfits i could pair with them. ,5
"I got the item of clothing because I really liked it and only have one or two pieces similar to it - but not in that design. I didn't get it out of necessity, just for the purpose of my liking to it.",4
I got the shoes to work out in and have a practical and cute shoe to also wear in my daily life. They double as workout shoes and everyday shoes. I had my old workout shoes since 8th grade and I am now a junior in college. They are more comfortable and more my style. I need good shoes to workout in and go to the rec in.,4
"I shop at Goodwill on a bimonthly basis to support their mission. It is hard for me to find fitting clothes and it fit perfectly so presto bango, I bought it. ",2
I got it as a gift from my mom but I was in need of a new sweater.,3
I got it because it looked nice and I needed a hoodie that I could wear in colder weather.,3
I got it for free from my mom from her friend and I liked it. It was as simple as that.,1
It was similar to styles I enjoy wearing but had colors and images that I do not have in my wardrobe,4
Because his new tour line just came out and I saw an ad for it on Twitter. I really liked the hoodie I saw so I just decided that I wanted it. ,5
I wanted a black hoodie because most of mine are blue. I shopped around a bit before finally finding one that I liked,4
"I got it because I thought it was really cute. I saw this other girl wear it and I knew  
I had to have it,",5
I wanted them because they were cute. I just got paid when I bought them and it was my birthday. ,4
"It looked really cute and I was with my grandma. My grandma paid for it and it was in a pretty low price. I also have an autumn complexion and this was a good color on me. I did not have another one like it already. It made me happy and brought me joy and it was really comfortable. I feel guilty now because the more I think about how harmful fast fashion is, the less I think I should have bought it.",4
"It was a cool Oregon jacket and I wanted some more school spirit clothing, it was also before winter",2
"I was in the store. I liked the shirt and I decided to buy it. I was just browsing, but I ended up buying something.",5
A lot of students wear cute oregon gear to sporting events and I wanted something sexier than what I have which is just a normal large sweatshirt.,2
I thought it looked comfortable and would match similar clothes that I own. I had shown interest in borrowing it which is why my roommate just gave it to me. ,4
"I was never aloud to get crop tops, and I decided to shop for my own, what I wanted and liked.",1
"I bought the workout top in a different color a while ago and it became my favorite top to workout in since it fit well, looked good and was made well. I wanted to buy more I different colors, and I found this one in black. ",3
"I agree with the company because it advocates for women, and the fact that we can play sports too. So i wanted to show my support for the cause.",3
"I got the clothing item because it is rainproof. Prior to buying it, I did not have a good rain jacket, and I needed one to deal with the frequent rain in Eugene.",2
I needed a thin hoodie to match the climate and that specific hoodie made me feel nostalgic and happy. I also thought that others would approve of my choice.,4
It was trendy and I've seen girls on social media wear those type of sweatpants.,4
"I just liked the way that it looked, sweaters are in right now, my brother hadn't even taken off the tags, it fits in with my style, and so all these things came together I guess. ",4
"It was a nice jean jacket that would keep me warm going into fall and winter season, it looked nice and would go with other clothes that I have, and I got it for $15 which was very cheap for what it is.",1
"A portion of the money is going to Food 4 Lane County, and I also simply liked the design. ",4
"Purely practical reasons - I spend a lot of time in cold environments, and my legs kept getting cold.",1
It was clothing that represented the scholarship that I had received and it looked comfortable. ,4
I saw the pants online and had been looking for a fun way to change up my look for certain events and they looked super comfortable. ,4
I got the fleece jean jacket because I had been looking for one for a while. I love jean jackets and I'm from Southern California and don't have many jackets so I thought it would be nice to have moving to Oregon.,4
I got this clothing item because my sister has one just like it that I like to borrow. I decided to get one of my own because I thought it would look cute with jeans or over a swimsuit in the summer. It was also on sale so it wasn't that hard of a decision. ,4
"I was going out on a date night in Portland with my boyfriend. I don't buy nice clothing for myself often, so I did not really have an outfit that I felt that I wanted to wear. I went on a shopping trip to get an outfit for the night, as well as other clothing items I needed- bras, underwear, and leggings. ",2
"I received an email offer for a free t-shirt with a purchase of $20, so I wanted to pick something to fulfill the requirement. The item was the one that was most appealing. I only bought it because I received my stimulus check. ",2
It was gifted to me by a friend. She thought it would look cute on me.,3
"I got it for multiple reasons. The first is that I didn't have very many pairs of good pants to begin with, so I needed a well-fitting pair. Secondly, fashion-wise, a pair of black pants would look good with most of the shirts that I own.",3
I've had the same denim jacket for many years and I really wanted one that could also match more outfits but stand out so that's why I went with the one with the white stars. I didn't want to keep using the same basic denim jacket. ,4
I thought it was cute and I like pullover hoodies ,3
My mom got the jeans for me because she said that she liked them but they didnt have her size. ,4
I got this windbreaker to wear to football and basketball games for next season,2
I needed jeans without rips ,2
I got the shirt because I like basketball and this shirt supported that. It had a brand name that is well known in basketball and I got it.,5
I entered the giveaway because I thought the sweatshirt was really cool and wanted to have it.,4
I got them because I needed another pair of pants that were comfortable.,2
I wanted a summer dress to throw over a bathing suit and during traveling,2
"I saw it and I immediately fell in love with it. I love buying clothes from thrift stores because they are unique. The fact that this shirt was from Australia and was tie dye, my favorite pattern for a tshirt, motivated me to buy it.",2
I got this dress because it was on sale and I didn't have a dress like it,3
I got this item because my old sweater was worn out and needed to be thrown out. It was a zip up sweater and I wanted a hoodie since I haven't had once for a while.,4
It was a gift. I would not have picked it out for myself,2
I liked the look of it and wanted to have it for the coming summer season,2
I sneakily stole it from my dad because it is comfortable and I think it fits my fashion sense. ,3
I got these shoes because I had been wanting a pair of white leather sneakers. I originally wanted the white Nike Air Fore Ones but I felt that almost everyone I knew had those. The white reebok sneakers I got were similar but still unique. ,5
I noticed this clothing item was a trend and I also really liked the style so I decided to buy it both because it was trendy and because I found that it went with my style and I liked it. I also noticed the site was having a large sale so I thought it would be cost-effective.,2
The black jeans I have are stretched out and don't fit me well anymore so I wanted to get a new one. ,5
"I saw a dude at the gym wearing them and I really liked the low profile, stylish look that they had. I asked him what they were and he said Adidas Ultraboosts. I waited for a while until they went on sale and then decided they were worth the money. I've seen them a couple of times before and they look great and expensive so I bought them to fit in better at the school",3
I had extra money to spend and I wanted to buy something I wanted. I like having a variety to choose from in my closet. ,4
It was my brother's old hoodie that I always liked and so I asked him if I could have it.,2
I need that winter jacket and it was on sale so I got it back.,3
I got the clothing item because I love shopping for jackets and I got this jacket in particular because of the color of it. It was not so much to make a fashion statement.,5
I got this because I really like sun and moon designs. I wanted a cute t-shirt that could go over turtle necks (that is the style right now) or just to lounge in.,4
"I liked the look of the pants and thought I needed a new pair of pants
",2
"I have bought things from this online store before and enjoyed them very much/ got a lot of use out of them. Also, I really liked how the item looked on the person modeling it.",2
I wanted more comfortable shirts that I could not only wear to bed and around the house but could also wear outside. It looked very comfortable and durable and was within my budget as well as in a color I liked. The fit is similar to items I already own and I thought it was something I could get a lot of use from and could wear with many things.,4
Because I needed new winter clothing. ,4
I thought it looked nice with the clothes I wear.,2
"I initially didn't think I was going to buy anything, but then I saw two cute sweatshirts, and I've been looking for oversized sweatshirts, and one just happened to be of where I go to school. ",3
I got the clothing item because I thought that it would fit my personal style and I have been looking for more pieces to wear for the summer. ,2
"I got the jacket because I've seen so many amazing denim jackets people have made with patches and pins on them and they always impress me so much. I wanted one of my own so I could have something of my own like that. Also, jackets like that always strike me as incredibly gay and as a bi-ish nonbinary person looking vaguely gay at any point in time is high on my list of fashion priorities.",4
I just really liked it. I love Star Wars and the jacket looked cool in the movie so I bought it,3
My boyfriend showed me his friend's brand and I really liked his work and wanted to support his small business. ,4
i got the dress to wear during the summer in the hot weather. ,5
I was planning on going to Punta Cana for Spring Break and didn't have any beach clothes that I felt I looked good in.,4
It was getting colder and I wanted a new long sleeve shirt. I loved the purple color as thought it would look good on my skin tone and thought the fit was nice. ,5
My current socks were getting worn and I wanted more comfortable ones.,5
"I thought the graphics looked nice. Though I don't listen to this particular band very much, I still wanted to support them because they're up and coming and my brother is close friends with the singer.",3
I think right now because I'm stuck in quarantine I have a lot of extra money since I cannot go out and spend everything. So I spend the time not doing my studies online shopping for clothes I think look cute for everyday purposes or like comfy sweats for lounging around in.,4
I got that dress because it was for my sister's gender reveal that me and my other sister were planning. We had a theme and that dress was perfect for the theme.,5
i liked it alot,3
I got the shirt from the concert to remember the concert.,2
"I got the item because I liked it, and I needed to replace my old clothes and give them to charity.",4
I really like the team and the name on it is my favorite player. Also the color is really nice and the material is also pretty nice. I think it looks really cool and it kind of trendy. ,5
i wanted more dresses for summertime ,3
Summer time is coming.,3
"I got it as a gift, my mother calls me ""Chula"". That's why she bought it. ",4
I like clothes that don't have a 'statement' and are pretty bland but have some aesthetic to it,4
"I got new white shoes because I wanted shoes that looked like converse but weren't converse. my friend suggested ""shoes like pottery"" and I went on the site. I got white hightops, no one else has them which is something I like. ",4
I got them because air forces are fresh ,2
It is the liquid.,3
I got the binder in an effort to reduce my gender dysphoria I have been recently experiencing. As the weather gets warmer I can no longer wear many layers to hide the shape of my chest. I was feely extremely distressed and anxious and it is the worst feeling to have when you are trapped in your own body. ,3
Because I wanted it and I have no self conrtol,4
"I got the item because I liked the design, and the material was soft.",4
I like to collect vintage T shirts and that one was very pleasing to me.,3
"It was Christmas. I had no idea what my presents were going to be, but I ended up getting this clothing item from my grandmother. It made me really happy because I didn't know it existed until then!",1
I got the clothing item that I did because I had wanted it for a while and it was on double sale so I decided that if I was going to get it that would be the time to get it ,4
"I was looking for a new summer dress because I recently donated a bunch of old clothes and I wear more dresses and skirts when the weather gets warm. I also picked this dress because I have recently started wearing more yellow. I had a close friend for a long time that would always tell me that I looked bad, especially in yellow, and I am not friends with this person anymore so it feels good to wear yellow clothes as other people always compliment me about how I look good in yellow. All my clothes I pick because I feel they express a part of who I am.",4
"They were cheap and affordable, as well as fashionable! Although I was not in dire need of more leggings, I was excited t recycle clothing at a great cost!",3
"My boyfriend gave it to me because I constantly make jokes about how much I love Ric Flair. I don't actually really love Ric Flair, but I think the shirt is hilarious and I wear it constantly because of that. ",4
It was a birthday present that I got to shop for. I needed more jeans so I decided to get a new pair.,2
I thought the dress was really cute & in style & I could wear it this summer. It was also on sale.,5
"I just felt like I needed more pants, some of the pants I already had didn't fit me very well",2
I got it because I normally get a new swimsuit every year before summer and it was also on sale,4
It was cute and cheap so I bought it ,2
I got it to be comfortable and it was cute. I needed a long sleeve.,3
"I was looking for something breezy for summer, and also I felt bored because I hadn't bought anything new in a while. I know that it is wasteful to just buy clothes because you are feeling bored of your old ones, but I try and usually combat this by donating or selling my old clothes if they are not damaged and buying from primarily recycled fashion stores. Still, it is financially wasteful and makes me feel bad for not saving money.",5
I got this clothing item because it was on sale and I had just enough money to buy it and I had been wanting to buy something like it for a long time.,4
I saw that the site that I got these shoes from had a sale on shoes and I had wanted this style for a while to go with my other clothing.,3
I got this item of clothing because it makes me comfortable without the pressure of my looks. I can wear an oversized t-shirt without being pressured to be more skinny/fat. ,5
"I don't have very many ""up to date"" tank tops, and I noticed the trends shifted since last spring. I have been liking the color lavender lately, and I thought this shirt was trendy, but will also last me a while. ",3
I got the pair of mens jeans because I wanted to cut them into jean shorts for this upcoming summer. I saw on Tik Tok that Walmart mens jeans make good mom jeans that are cheap so I thought I would try to make thin into shorts. ,3
I got these shoes because my old running shoes were worn out and I wanted to begin running again after a long break. I needed a new pair of running shoes so I went with the new version of the old pair I had since they worked well for me before.,2
The money was going back to the community to help less fortunate people in this time of crisis. A lot of my friends also got this sweatshirt.,5
i needed more underwear because some of the  underwear I had were ripped,4
I got it as a  gift so I can't  really  explain it.,3
I had won a patch at a festival and wanted to put it on the hooded sweatshirt....so i did.,5
I got the shirt I described because I was going on a cruise so I had to purchase some clothing that matches the weather I was going to rather then rainy cold Oregon weather.,3
It was cold and I did not bring a warm enough jacket for the night.  I did not intend to but it.  I did get lucky though because it is warm and cozy and I like the way the logo looks.,4
"I really enjoy this style of clothing, and it seemed super comfortable to wear. It was unique from other pants I've seen before and I felt that I would frequently wear it. I contemplated buying it for several months until I ended up purchasing it mostly with a gift card.",4
I needed a new pair of jeans because I gained weight and could no longer fit into any of my jeans.,3
i needed more clothes that i could wear to go out. i can also use it for warmer seasons,4
I got the clothing item along with other shirts because I was shirt designing and I wanted to get unique colors for my designs that were going to be on the shirt. Plus when I went to Micheal's they were having a sale on the shirts so I picked out the orange one because it was fun and bright.,4
It was really cute. It was also at a very reasonable price. I felt this clothing item sufficiently represented my uniqueness and my style!  ,2
"I wanted to buy this pair of jeans, because I had nothing like it in my closet, and I thought they would enhance my fashion style in a positive way.",2
I purchased the item because I was in need of a long sleeve shirt and the item bought was also on sale.,3
I needed socks in order to avoid getting blisters on my feet.,5
I wanted a pair of rain boots because I didn't have suitable shoes for the rain and it had been raining a lot in Eugene. I also wanted a cute pair of ankle boots so I thought I could get one pair that could work for both desires. ,3
I thought the top was cute and wanted to try a different style of clothing from what I typically wear.,3
I love green and I also really like button-downs! I mostly wear clothing like that to work and class. It was also on sale :),4
"I didn't have a pair of slacks but I also didn't like the he standard, tight-fitting ones that seem to be popular because I don't think it looks flattering on me. Besides, these are really comfortable and versatile (looks fine with blouse or tee-shirt).",3
"This shirt is so cute and gives me 80s/90s vibes because of the style of the cartoon and the shade of green the shirt itself is and I have fallen in deep love with the fashion aesthetic of the 80s and 90s. Green is also one of my favorite colors and cats are one of my favorite things in the world and they were each complimented by each other in this shirt, and because it was only $5 and second-hand I was very much up for purchasing it.",2
Needed it for a friends sorority formal. I don't have formal wear and am too tall to borrow from friends. ,2
"I got the jacket because I didn't have one and being from Southern California, I don't really have any heavy duty rain jacket because the weather doesn't really call for one. I was often told that winters in Oregon were cold, rained a lot, and sometime snowed so I needed to prepare for that since my closet didn't really account for those weather conditions. ",3
I asked my mom for the shoes and she bought them for me. The shoes were not purchased out of need.,4
Because I am excited for spring and I have recently been adding new clothes to my warm weather wardrobe. ,4
I got this clothing item because I wanted to look more fashionable. ,4
I have black jeans but they are all skinny jeans so I wanted a looser pair that I could wear on casual days. I have been looking for a pair of jeans that fit that description forever at thrift store and other places in the mall because I have to try them on first so no online shopping. I found a pair in pacsun that fit good enough so I bought them.,5
"It was a gift from my sister to celebrate getting accepted to the U of O. She gave me a U of O shirt.
I feel like it's hard to answer this survey using a gift as an example. To get at some of the ideas you're asking about. I don't generally buy Nike brand and I don't generally buy clothing with writing on it because I'm not a billboard and I don't want to use my body to promote brands or ideas. I will wear logos for organizations I volunteer with. I don't buy a lot of clothes because I don't want to spend money on clothes and because it's terrible for the environment although I'm not very responsible when I do purchase clothes I will often choose cheap over responsibly source. I try to make up for it buy wearing them until they are literally falling apart. All that said, if my sister hadn't given me a U of O shirt I probably would have bought one myself because supporting the local sports team is a quick way a signalling that you're part of the in-group. I move often and I always support the local team because it's a short cut to social inclusion.",2
I started to work out a lot recently and I had 2 pairs of leggings that I had to keep washing. I got a new pair to limit the amount of laundry I kept doing. ,3
"I had been online window shopping for several hours and landed upon this dress which was within my price range, I thought it was cute, and it would help elevate my wardrobe. I bought it because I had been looking at clothes for so long and felt the need to at least buy one item by the end.",2
I like them they are comfortable ,3
"I needed new leggings for working out. Also, I saw someone at the gym wearing the same pair and she gave me a great recommendation.",1
I have a very gothic style that is unconventional. I like wearing clothes that throw people off and make them question me a bit. I am a firm believer in don't judge a book by its cover. I often become friends with non-judgmental and open-minded individuals as a result of how I dress.,2
"I got the clothing item because it had caught my eye. When analyzing the piece of clothing, it matched my taste in clothing which is a clothing item that has versatile use of it. ",1
"Because I wanted a hoodie to wear to the football games to show support for my school, but also stay warm at events.",4
"My friend offered it to me. We had a very memorable night when she wore it once, and I remembered that jacket as associated with that night aways.",4
"The shorts looked cute and comfy. I like to feel cute when I'm comfy, even if I'm alone in my house.",4
"I needed new shoes as I wear the same pair until they are beat. They were a bit of a splurge, but my mom wanted to gift me something nice for my birthday and it is what I had my eye on for about a year. ",3
"I usually have very specific or exact models for the items I want. I always look for clothing items that are stylish, suits my style; uses good materials that can last for a long time; they seem like basic items but the details make it looks better on me; worth the price.",3
"I got the clothing item because it had a really cool design on the back of it. Also, I wanted another black hoodie and saw a similar design to the one I bought online. ",4
I got this clothing item to keep me warm in Eugene. It is comfortable and well insulated for the weather (I come from Southern California where it is pretty warm for the majority of the time). ,2
because it is something i thought was cute and i would like,3
This was a birthday present from my girlfriend. ,3
I got this clothing item because I do not usually wear jeans. I also did not own blue jeans and I thought it would add to my wardrobe. ,4
"I liked this item because it looked cool, and would be a good shirt to wear in the summer. I purchased it because it was fairly cheap.",3
I got it because I wanted more university of Oregon clothes and I wear a lot of sweatshirts. My girlfriend also liked it.,3
"My friend was giving away the clothes she did not wear as much, and I really liked the dress she was giving away, so she said I could have it. ",3
I got this shirt because the last white shirt I had was stained. And white goes with everything so I knew I would wear it a lot. ,2
"I liked the item, my friend was going to return it to the store because she didn't like it, and my friend got it on sale for a price that I would be willing to pay. ",4
"I bought the sweatshirt because it was an exclusive-only for Disney and the Aulani Resort. It was like a souvenir for me that I would use many times by wearing it many times after I returned to Oregon from Hawaii. Lastly, the tie-dye design and the many colors matched my fashion preference. ",2
Because I needed it for outside activities!,3
"I ripped my favorite pair of jeans, so I replaced them with the pair I described early.",4
got it for free,3
I got this clothing item because I wear something similar to it a lot and it it starting to wear out. ,3
I was drunk and bought it on impulse because I was bored.,3
"I didn't have any pants, and was hanging out with my sister the mall and i found the pair of pants for 8 dollars and they seemed stylish and fit well enough. ",2
I just liked the way it looked and it was on sale so I thought it might be cute to save as a summer shirt. ,4
"I just really liked the design on the shirt first of all. And the fact that I know it would fit me in the style I preferred made me more likely to buy it. Starting to think of it, I guess I also just knew it would fit my aesthetic more. A lot of people tell me I have a ""skater"" aesthetic and they do have a point I guess. I cuff my pants sometimes and wear vans and I like loose fitting shirts. So I guess this shirt was just my style.",3
I can get a lot of use out of them and it will help with different weather conditions. ,3
I got this shirt because I needed more clothes. I have been outgrowing my clothes. ,3
I needed another pair of jeans. I only had two other pairs that fit me.,1
I wanted something nice for my birthday and my friend showed me the brand a few weeks back. ,4
"I got this clothing item because I like neutral colors so anything black, white, grey, or similar to those colors. I had a bodysuit/tank similar to this one and I wanted more of a variety. ",5
I needed a new winter jacket.,2
I got this item because I was browsing and I thought it was cute. I know I will wear it this summer. ,5
"It was a good quality fabric for a good price, with a versatile print, and I knew would be really cute with some basic modifications. ",4
I needed some new underpants and it was the style I feel comfortable wearing.,4
For a more personal wedding. The wedding of my mother and her new husband next to a creek behind their house.,5
It was a gift and I kept it because I like to wear sweat pants and I like the color.,2
"I love shoes and wanted a new pair, this pair was a good price and I have wanted a pair for awhile",4
The bins is a place where one does not specifically look for a particular item. I simply found the pear of sweats and thought it would look nice to wear. And it was very cheap. ,3
I thought it would be cute to wear everyday. Also it would keep me warm but not too warm. ,4
I wanted a black hoodie,4
"I got it because it was on sale, and I thought it was cute.",5
"I got this clothing item because it was a very good price and I feel good supporting small second hand businesses. This clothing item also fit me perfectly so I thought it made sense to purchase it. Additionally, this particular item will not go out of fashion and can be worn almost year round. ",4
I needed a new shirt,3
"I got it because I do not have sweats like this. The majority of my clothes are in Eugene, and I am not there.",4
"I had been looking at it for the past 6 months, and they released new colors that were different than other items I had in my closet. I also cleaned out my closet recently so I decided it was ok to get a new item.",3
I had not purchased new clothing in a while and I saw that this shirt was on sale.,4
"Because I like shoes. and I liked those shoes. and I had the money, so why not?",5
I got these to replace my old skate shoes that had holes in them. ,2
It is now spring time and I wanted to get a new swim suit for the year. The weather is starting to get nice and I am also hopefully going to still go on a trip once the quarantine ends.,5
I liked the way it fit. I thought I would look good in it.,3
because I had the same exact pair that I loved but i ripped them on the side of my leg moving stuff,2
I wanted a University of Oregon sweatshirt to replace my old one.,4
"For the winter because I had it before, and I enjoyed it, but lost it through some moving process.",2
I need some new clothes because I don't have a lot of clothes and there was a really good sale online,2
I liked the way it looked and I wanted to add that color to my closet,5
I liked it and would enjoy wearing it in thee warm weather ,3
I got the clothing item simply because I liked it. I am fortunate to be able to buy clothes out of desire sometimes and not always need.,4
"I got this item becuase I needed a black long sleeve sweater, mainly getting ready for going back to Oregon in the fall. Also becuase i am trying to recreate my wardrobe and i wanted to start with so nice, but basic clothes. It was also very cheap in the sale.",4
"I got this pair of sunglasses because I have been wanting the item for months. I enjoy the style of the glasses, and they are very trendy in this moment of time. ",5
"It was for a fundraiser for my club sport team, and it is a very neutral color, black, that goes with a lot of things. It allows me to display my interest in my clothing choices, and others can see that I am involved with the team, while also making money to support my team. ",4
I needed a pair of cleats to practice football with. I was slipping too much on the turf field and actually sprained my ankle as a result. I decided it was time to buy a pair of cleats despite being in a tough financial situation. ,4
"I got this item because it was on sale for over fifty percent off and I have the same style in black, and they are my favorite jeans. ",4
"I decided to get the clothing item I purchased because I had the unquenchable desire to acquire another pair of sweatpants. not to mention in the city of 
Eugene, the rain is immense, so getting this pair of sweats was not a dire necessity but was rather a nice article of clothing to my collection.",3
I liked the way it looked. It was warm and I got it during winter. I did not buy it for appraisal from anybody but me.,3
"It fits nicely. It's soft. It's black, and I like myself in black.",1
I wanted some more summer clothes so I bought some tops to wear in warm weather. ,5
"I have out grown many of my summer clothing and have not shopped for new summer clothing because I was moving to Oregon, but now I am back in California and need summer clothing that fits me",2
I bought the pair of scrubs because I had just started a new job at a health facility and scrubs are required. ,4
It was cute and would go with a pair of heels of mine and it was a hand-me-down from my sister.,5
I got it because it is unique and interesting and in style. I have seen many people wearing clothing like this and I like seeing other people wear it and it's very casual which I like and fun for the summer.,2
"I needed a jacket that was heavier than just a windbreaker but lighter than the winter coat I had. Puff jackets are (or were last winter) pretty popular. I was at Dillard's over the break and I really like Calvin Klein and how it's a cheaper fashion brand. I like neutral clothing like black, grey, and white. And it fit my sense of style.",4
I got the clothing item because I wanted more going out shirts ,4
I got it because I wanted to get a new pair of sneakers. It was really a purchase I didn't need. I bought them because I liked them.,4
I wanted to get new clothes. I wanted more sweaters because I don't have that much winter clothes and the sweater was a color that I don't really have in my closet.,4
"I got the jersey because I wanted to support my favorite NBA team, the Portland Trail Blazers, and one of my favorite players, Carmelo Anthony.",4
"I got these bikini bottoms in anticipation for the summer and to match with other pieces I already have (bikini tops). I also liked that they were high-waisted, a cut that I think is flattering and wanted to try out. It was also on final sale, I was saving a lot of money compared to how much I would've been spending.",5
"I got this item for a competition I was going to in LA, and wanted to fit with the theme my group was going for. I also thought it was something I could wear on a daily basis. ",4
I was looking for clothes because I didn't have many options to pick from and was rewearing the same few things.,4
I needed a new bathing suit. I grew out of my one from the previous year so I purchased a new swim suit.,4
Because I wanted new socks. ,3
I got it because my friend no longer wanted it and I thought it was cute. Oversized tees are in for girls right now and it is a color I do not usually wear but I thought it would be fun to try new colors.,3
I wanted and deserved it. ,3
